[2023-09-09 18:55:53.992 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Activity started
[2023-09-09 18:55:54.143 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Creating input ports...
[2023-09-09 18:55:54.097 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 18:55:54.257 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 18:55:54.273 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 18:55:54.276 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 18:55:54.154 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 18:55:54.308 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 18:55:54.340 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 18:55:54.335 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:55:54.346 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Waiting for tokens...
[2023-09-09 18:55:54.351 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:55:54.352 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 18:55:54.360 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:55:54.220 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Activity started
[2023-09-09 18:55:54.418 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Creating input ports...
[2023-09-09 18:55:54.527 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 18:55:54.538 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 18:55:54.615 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:55:54.625 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Waiting for tokens...
[2023-09-09 18:55:54.930 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 503ms
[2023-09-09 18:55:54.931 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 18:55:54.936 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 18:55:54.937 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 18:55:54.955 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:55:54.965 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 18:55:54.968 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-09 18:55:54.969 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-09 18:55:54.972 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 18:55:54.974 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-09 18:55:54.977 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 18:55:55.044 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token={content='A0', iteration=0}}]
[2023-09-09 18:55:55.047 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Mapping task arguments...
[2023-09-09 18:55:55.083 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
[2023-09-09 18:55:55.086 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Executing task
[2023-09-09 18:55:55.087 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Setup results file before task execution
[2023-09-09 18:55:55.089 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Executing task
[2023-09-09 18:55:55.362 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 383ms
[2023-09-09 18:55:55.363 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-09 18:55:55.365 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-09 18:55:55.365 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-09 18:55:55.367 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 18:55:55.368 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-09 18:55:55.374 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-09 18:55:55.379 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 18:55:55.381 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Setup results file before task execution
[2023-09-09 18:55:55.385 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 18:55:55.399 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Received tokens: [InputToken{portName='IPortB', token={content='A1', iteration=1}}]
[2023-09-09 18:55:55.401 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Mapping task arguments...
[2023-09-09 18:55:55.433 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["10","B"],"currentIteration":1}
[2023-09-09 18:55:55.435 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Executing task
[2023-09-09 18:55:55.437 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Setup results file before task execution
[2023-09-09 18:55:55.439 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Executing task
[2023-09-09 18:55:55.724 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 337ms
[2023-09-09 18:55:55.725 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Collecting task results...
[2023-09-09 18:55:55.726 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task results collected: [A2]
[2023-09-09 18:55:55.727 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Emit task results...
[2023-09-09 18:55:55.730 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Incrementing workflow iteration...
[2023-09-09 18:55:55.730 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
[2023-09-09 18:55:55.732 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":3}
[2023-09-09 18:55:55.734 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-09 18:55:55.734 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Setup results file before task execution
[2023-09-09 18:55:55.736 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-09 18:55:56.161 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task execution finished with a running time of: 424ms
[2023-09-09 18:55:56.162 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Collecting task results...
[2023-09-09 18:55:56.164 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task results collected: [A3]
[2023-09-09 18:55:56.165 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Emit task results...
