[2023-09-06 15:33:15.946 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Activity started
[2023-09-06 15:33:15.972 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Creating input ports...
[2023-09-06 15:33:16.019 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:16.021 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Waiting for tokens...
[2023-09-06 15:33:16.374 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Activity started
[2023-09-06 15:33:16.406 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Creating input ports...
[2023-09-06 15:33:16.373 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-06 15:33:16.408 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-06 15:33:16.450 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:16.451 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Waiting for tokens...
[2023-09-06 15:33:16.460 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='IPortCOPortB'}]
[2023-09-06 15:33:16.462 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-06 15:33:16.794 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Activity started
[2023-09-06 15:33:16.830 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Creating input ports...
[2023-09-06 15:33:16.869 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:16.870 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Waiting for tokens...
[2023-09-06 15:33:16.995 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Activity started
[2023-09-06 15:33:17.023 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Creating input ports...
[2023-09-06 15:33:17.058 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:17.059 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Waiting for tokens...
[2023-09-06 15:33:17.540 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Activity started
[2023-09-06 15:33:17.576 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Creating input ports...
[2023-09-06 15:33:17.577 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Activity started
[2023-09-06 15:33:17.611 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Creating input ports...
[2023-09-06 15:33:17.614 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:17.615 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Waiting for tokens...
[2023-09-06 15:33:17.652 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:17.654 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Waiting for tokens...
[2023-09-06 15:33:17.654 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Activity started
[2023-09-06 15:33:17.690 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Creating input ports...
[2023-09-06 15:33:17.726 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:17.728 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Waiting for tokens...
[2023-09-06 15:33:18.090 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Activity started
[2023-09-06 15:33:18.122 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Creating input ports...
[2023-09-06 15:33:18.111 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-06 15:33:18.145 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-06 15:33:18.149 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-06 15:33:18.151 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-06 15:33:18.161 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:18.162 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Waiting for tokens...
[2023-09-06 15:33:18.168 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-06 15:33:18.170 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-06 15:33:18.170 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-06 15:33:18.172 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-06 15:33:18.395 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 200ms
[2023-09-06 15:33:18.396 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-06 15:33:18.401 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-06 15:33:18.402 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-06 15:33:18.414 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='IPortBOPortA'}]
[2023-09-06 15:33:18.422 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-06 15:33:18.423 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-06 15:33:18.424 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-06 15:33:18.425 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-06 15:33:18.426 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-06 15:33:18.427 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-06 15:33:18.576 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:18.578 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Mapping task arguments...
[2023-09-06 15:33:18.545 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Activity started
[2023-09-06 15:33:18.588 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Creating input ports...
[2023-09-06 15:33:18.598 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
[2023-09-06 15:33:18.599 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Executing task
[2023-09-06 15:33:18.600 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Setup results file before task execution
[2023-09-06 15:33:18.601 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Executing task
[2023-09-06 15:33:18.566 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Activity started
[2023-09-06 15:33:18.611 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Creating input ports...
[2023-09-06 15:33:18.636 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:18.637 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Waiting for tokens...
[2023-09-06 15:33:18.661 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:33:18.662 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Waiting for tokens...
[2023-09-06 15:33:18.681 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 252ms
[2023-09-06 15:33:18.682 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-06 15:33:18.683 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-06 15:33:18.684 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-06 15:33:18.687 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-06 15:33:18.687 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-06 15:33:18.688 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-06 15:33:18.689 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-06 15:33:18.690 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Setup results file before task execution
[2023-09-06 15:33:18.690 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-06 15:33:18.755 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:18.756 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Mapping task arguments...
[2023-09-06 15:33:18.772 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["10","B"],"currentIteration":1}
[2023-09-06 15:33:18.774 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Executing task
[2023-09-06 15:33:18.774 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Setup results file before task execution
[2023-09-06 15:33:18.776 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Executing task
[2023-09-06 15:33:18.903 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 212ms
[2023-09-06 15:33:18.904 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Collecting task results...
[2023-09-06 15:33:18.905 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task results collected: [A2]
[2023-09-06 15:33:18.906 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Emit task results...
[2023-09-06 15:33:18.908 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Incrementing workflow iteration...
[2023-09-06 15:33:18.909 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
[2023-09-06 15:33:18.909 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":3}
[2023-09-06 15:33:18.910 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-06 15:33:18.910 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Setup results file before task execution
[2023-09-06 15:33:18.911 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
