[2023-09-09 19:25:47.882 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Activity started
[2023-09-09 19:25:47.981 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Creating input ports...
[2023-09-09 19:25:47.961 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Activity started
[2023-09-09 19:25:48.037 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Creating input ports...
[2023-09-09 19:25:48.071 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:25:48.073 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Waiting for tokens...
[2023-09-09 19:25:48.015 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Activity started
[2023-09-09 19:25:48.083 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Creating input ports...
[2023-09-09 19:25:48.110 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:25:48.112 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Waiting for tokens...
[2023-09-09 19:25:48.021 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Activity started
[2023-09-09 19:25:48.118 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Creating input ports...
[2023-09-09 19:25:48.182 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:25:48.185 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Waiting for tokens...
[2023-09-09 19:25:48.192 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:25:48.194 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Waiting for tokens...
[2023-09-09 19:25:48.227 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:25:48.330 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 19:25:48.343 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 19:25:48.358 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 19:25:48.405 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 19:25:48.407 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:25:48.408 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 19:25:48.410 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:25:48.341 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Activity started
[2023-09-09 19:25:48.473 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Creating input ports...
[2023-09-09 19:25:48.339 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 19:25:48.499 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 19:25:48.584 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:25:48.587 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Waiting for tokens...
[2023-09-09 19:25:48.619 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:25:48.621 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 19:25:48.904 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 431ms
[2023-09-09 19:25:48.905 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 19:25:48.911 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 19:25:48.912 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 19:25:48.932 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:25:48.941 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:25:48.943 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-09 19:25:48.944 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-09 19:25:48.945 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:25:48.946 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-09 19:25:48.947 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:25:49.024 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token={content='A0', iteration=0}}]
[2023-09-09 19:25:49.026 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Mapping task arguments...
[2023-09-09 19:25:49.045 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
